Date,RR_sales
15-01-1996,134926
15-02-1996,136781
15-03-1996,137527
15-04-1996,137504
15-05-1996,138302
15-06-1996,137881
15-07-1996,137818
15-08-1996,137630
15-09-1996,139023
15-10-1996,139721
15-11-1996,139250
15-12-1996,139471
15-01-1997,140228
15-02-1997,141145
15-03-1997,141512
15-04-1997,140455
15-05-1997,139403
15-06-1997,141104
15-07-1997,142605
15-08-1997,142610
15-09-1997,142856
15-10-1997,142305
15-11-1997,142539
15-12-1997,142891
15-01-1998,142966
15-02-1998,143002
15-03-1998,143854
15-04-1998,145485
15-05-1998,145790
15-06-1998,146780
15-07-1998,145480
15-08-1998,144683
15-09-1998,145897
15-10-1998,147975
15-11-1998,148877
15-12-1998,149986
15-01-1999,149903
15-02-1999,151494
15-03-1999,152098
15-04-1999,152151
15-05-1999,153457
15-06-1999,153899
15-07-1999,154434
15-08-1999,155747
15-09-1999,155752
15-10-1999,155756
15-11-1999,157294
15-12-1999,159879
15-01-2000,158353
15-02-2000,160012
15-03-2000,160944
15-04-2000,158575
15-05-2000,158539
15-06-2000,158792
15-07-2000,157868
15-08-2000,158045
15-09-2000,159863
15-10-2000,159271
15-11-2000,158394
15-12-2000,157924
15-01-2001,158836
15-02-2001,158409
15-03-2001,156995
15-04-2001,159186
15-05-2001,158793
15-06-2001,157793
15-07-2001,157566
15-08-2001,158638
15-09-2001,155022
15-10-2001,165886
15-11-2001,161668
15-12-2001,159926
15-01-2002,159582
15-02-2002,160147
15-03-2002,159251
15-04-2002,161082
15-05-2002,158771
15-06-2002,160023
15-07-2002,161348
15-08-2002,162095
15-09-2002,159532
15-10-2002,159842
15-11-2002,160592
15-12-2002,161617
15-01-2003,161716
15-02-2003,158594
15-03-2003,161146
15-04-2003,161377
15-05-2003,162053
15-06-2003,163660
15-07-2003,164827
15-08-2003,166799
15-09-2003,165271
15-10-2003,164859
15-11-2003,166784
15-12-2003,165694
15-01-2004,165982
15-02-2004,166806
15-03-2004,169393
15-04-2004,167306
15-05-2004,169480
15-06-2004,166740
15-07-2004,168446
15-08-2004,168576
15-09-2004,171026
15-10-2004,171216
15-11-2004,171016
15-12-2004,173123
15-01-2005,171809
15-02-2005,172997
15-03-2005,172199
15-04-2005,174294
15-05-2005,172805
15-06-2005,177612
15-07-2005,177894
15-08-2005,174885
15-09-2005,172893
15-10-2005,172973
15-11-2005,175188
15-12-2005,175387
15-01-2006,179441
15-02-2006,177841
15-03-2006,178446
15-04-2006,178037
15-05-2006,177061
15-06-2006,177286
15-07-2006,177041
15-08-2006,176888
15-09-2006,176759
15-10-2006,177531
15-11-2006,177850
15-12-2006,179370
15-01-2007,178661
15-02-2007,178278
15-03-2007,179121
15-04-2007,177784
15-05-2007,179385
15-06-2007,177545
15-07-2007,177970
15-08-2007,178643
15-09-2007,178923
15-10-2007,179286
15-11-2007,179464
15-12-2007,177516
15-01-2008,176885
15-02-2008,174746
15-03-2008,174263
15-04-2008,174756
15-05-2008,174617
15-06-2008,173172
15-07-2008,171117
15-08-2008,170145
15-09-2008,167294
15-10-2008,162630
15-11-2008,159483
15-12-2008,157080
15-01-2009,159002
15-02-2009,157855
15-03-2009,155401
15-04-2009,155759
15-05-2009,156927
15-06-2009,158076
15-07-2009,158475
15-08-2009,160925
15-09-2009,156747
15-10-2009,157772
15-11-2009,158774
15-12-2009,159311
15-01-2010,159250
15-02-2010,159688
15-03-2010,163156
15-04-2010,164251
15-05-2010,163114
15-06-2010,162906
15-07-2010,162926
15-08-2010,163617
15-09-2010,164673
15-10-2010,166117
15-11-2010,167290
15-12-2010,167504
15-01-2011,168202
15-02-2011,168998
15-03-2011,169683
15-04-2011,169699
15-05-2011,169212
15-06-2011,170405
15-07-2011,169909
15-08-2011,169629
15-09-2011,170926
15-10-2011,172129
15-11-2011,172329
15-12-2011,172384
15-01-2012,173475
15-02-2012,175228
15-03-2012,175553
15-04-2012,174496
15-05-2012,174650
15-06-2012,173178
15-07-2012,173987
15-08-2012,174874
15-09-2012,175641
15-10-2012,175087
15-11-2012,176120
15-12-2012,177050
15-01-2013,177951
15-02-2013,178873
15-03-2013,177568
15-04-2013,178296
15-05-2013,178618
15-06-2013,179030
15-07-2013,179576
15-08-2013,178822
15-09-2013,178770
15-10-2013,179507
15-11-2013,179777
15-12-2013,180071
15-01-2014,178051
15-02-2014,180229
15-03-2014,182159
15-04-2014,183125
15-05-2014,183343
15-06-2014,183780
15-07-2014,183525
15-08-2014,184935
15-09-2014,184385
15-10-2014,185073
15-11-2014,186059
15-12-2014,185227
15-01-2015,185518
15-02-2015,184176
15-03-2015,186748
15-04-2015,186435
15-05-2015,187609
15-06-2015,187323
15-07-2015,188072
15-08-2015,188389
15-09-2015,188306
15-10-2015,187883
15-11-2015,188187
15-12-2015,189231
